x,x_approximate,x_unit,parameters_json,dependency_ids_json,precision,display_digits,aoe_table.blackout_kick_dpc,aoe_table.blackout_kick_dpc__approximate,aoe_table.blackout_kick_dpc__formatted,aoe_table.blackout_kick_dpc__error,aoe_table.blackout_kick_dpc__unit,aoe_table.tiger_palm_dpc,aoe_table.tiger_palm_dpc__approximate,aoe_table.tiger_palm_dpc__formatted,aoe_table.tiger_palm_dpc__error,aoe_table.tiger_palm_dpc__unit,aoe_table.breath_of_fire_dpc,aoe_table.breath_of_fire_dpc__approximate,aoe_table.breath_of_fire_dpc__formatted,aoe_table.breath_of_fire_dpc__error,aoe_table.breath_of_fire_dpc__unit,aoe_table.keg_smash_dpc,aoe_table.keg_smash_dpc__approximate,aoe_table.keg_smash_dpc__formatted,aoe_table.keg_smash_dpc__error,aoe_table.keg_smash_dpc__unit,aoe_table.empty_keg_smash_dpc,aoe_table.empty_keg_smash_dpc__approximate,aoe_table.empty_keg_smash_dpc__formatted,aoe_table.empty_keg_smash_dpc__error,aoe_table.empty_keg_smash_dpc__unit
11,11.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,196162141641527061*2**(4/5)/1403808593750000 + 278061486973343073/175476074218750,1827.90590756,"1,827.91% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(55)/7187500000,1133.71341865,"1,133.71% AP",,dimensionless,563594976711/500000000 + 24948456*sqrt(11)/34375,3534.30755781,"3,534.31% AP",,dimensionless,2286643458047*sqrt(55)/3162500000,5362.27723450,"5,362.28% AP",,dimensionless,507479662053/224609375 + 2286643458047*sqrt(55)/3162500000,7621.66494729,"7,621.66% AP",,dimensionless
12,12.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,53498765902234653*2**(3/5)/350952148437500 + 142663375739292408/87738037109375,1857.06932305,"1,857.07% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(15)/3593750000,1166.46185412,"1,166.46% AP",,dimensionless,144635555103/125000000 + 22869418*sqrt(3)/15625,3692.18805142,"3,692.19% AP",,dimensionless,827547562153*sqrt(15)/575000000,5574.04856768,"5,574.05% AP",,dimensionless,507479662053/224609375 + 827547562153*sqrt(15)/575000000,7833.43628047,"7,833.44% AP",,dimensionless
13,13.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,231827985576350163*2**(2/5)/1403808593750000 + 292592015983826559/175476074218750,1885.32468070,"1,885.32% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(65)/7187500000,1197.87190841,"1,197.87% AP",,dimensionless,593489464113/500000000 + 11514672*sqrt(13)/15625,3844.05030846,"3,844.05% AP",,dimensionless,206049378067*sqrt(65)/287500000,5778.16763427,"5,778.17% AP",,dimensionless,507479662053/224609375 + 206049378067*sqrt(65)/287500000,8037.55534706,"8,037.56% AP",,dimensionless
14,14.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,124830453771880857*2**(1/5)/701904296875000 + 149928640244534151/87738037109375,1913.11217902,"1,913.11% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(70)/7187500000,1228.09538392,"1,228.10% AP",,dimensionless,304218353907/250000000 + 81082482*sqrt(14)/109375,3990.65963472,"3,990.66% AP",,dimensionless,410663020469*sqrt(70)/575000000,5975.39710612,"5,975.40% AP",,dimensionless,507479662053/224609375 + 410663020469*sqrt(70)/575000000,8234.78481892,"8,234.78% AP",,dimensionless
15,15.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,21795793515725229/11230468750000,1940.77326610,"1,940.77% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(3)/1437500000,1257.25738760,"1,257.26% AP",,dimensionless,124676790303/100000000 + 58213064*sqrt(15)/78125,4132.63321380,"4,132.63% AP",,dimensionless,204709358113*sqrt(3)/57500000,6166.38276585,"6,166.38% AP",,dimensionless,507479662053/224609375 + 204709358113*sqrt(3)/57500000,8425.77047865,"8,425.77% AP",,dimensionless
16,16.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,17832921967411551*2**(4/5)/175476074218750 + 157193904749775894/87738037109375,1968.56882948,"1,968.57% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(5)/1796875000,1285.46247471,"1,285.46% AP",,dimensionless,133452409701/31250000,4270.47711043,"4,270.48% AP",,dimensionless,3266639600107*sqrt(5)/1150000000,6351.67669898,"6,351.68% AP",,dimensionless,507479662053/224609375 + 3266639600107*sqrt(5)/1150000000,8611.06441178,"8,611.06% AP",,dimensionless
17,17.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,303159673445996367*2**(3/5)/2807617187500000 + 321653074004793531/175476074218750,1996.69433154,"1,996.69% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(85)/7187500000,1312.79908602,"1,312.80% AP",,dimensionless,653278438917/500000000 + 199587648*sqrt(17)/265625,4404.61223510,"4,404.61% AP",,dimensionless,3462638828519*sqrt(85)/4887500000,6531.75501158,"6,531.76% AP",,dimensionless,507479662053/224609375 + 3462638828519*sqrt(85)/4887500000,8791.14272437,"8,791.14% AP",,dimensionless
18,18.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,160496297706703959*2**(2/5)/1403808593750000 + 164459169255017637/87738037109375,2025.29237619,"2,025.29% AP",,dimensionless,713772207603/1796875000 + 2141316622809*sqrt(10)/7187500000,1339.34282436,"1,339.34% AP",,dimensionless,334112841309/250000000 + 35343646*sqrt(2)/15625,4535.39303032,"4,535.39% AP",,dimensionless,1219546018977*sqrt(10)/575000000,6707.03153280,"6,707.03% AP",,dimensionless,507479662053/224609375 + 1219546018977*sqrt(10)/575000000,8966.41924559,"8,966.42% AP",,dimensionless
19,19.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,338825517380819469*2**(1/5)/2807617187500000 + 336183603015277017/175476074218750,2054.46311854,"2,054.46% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(95)/7187500000,1365.15892132,"1,365.16% AP",,dimensionless,683172926319/500000000 + 224536104*sqrt(19)/296875,4663.12121773,"4,663.12% AP",,dimensionless,202875646597*sqrt(95)/287500000,6877.86853896,"6,877.87% AP",,dimensionless,507479662053/224609375 + 202875646597*sqrt(95)/287500000,9137.25625175,"9,137.26% AP",,dimensionless
20,20.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,292592015983826559/140380859375000,2084.27286516,"2,084.27% AP",,dimensionless,4996405453221/3593750000,1390.30412611,"1,390.30% AP",,dimensionless,34906008501/25000000 + 118505166*sqrt(5)/78125,4788.05610786,"4,788.06% AP",,dimensionless,810127302751/115000000,7044.58524131,"7,044.59% AP",,dimensionless,133744611215267/14375000000,9303.97295411,"9,303.97% AP",,dimensionless
