x,x_approximate,x_unit,parameters_json,dependency_ids_json,precision,display_digits,combo.total,combo.total__approximate,combo.total__error,combo.total__unit
33/100,0.330000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2926,2926.00000000,,damage
17/50,0.340000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2948,2948.00000000,,damage
7/20,0.350000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2970,2970.00000000,,damage
9/25,0.360000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2992,2992.00000000,,damage
37/100,0.370000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3014,3014.00000000,,damage
19/50,0.380000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3036,3036.00000000,,damage
39/100,0.390000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3058,3058.00000000,,damage
2/5,0.400000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3080,3080.00000000,,damage
41/100,0.410000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3102,3102.00000000,,damage
21/50,0.420000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3124,3124.00000000,,damage
43/100,0.430000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3146,3146.00000000,,damage
11/25,0.440000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3168,3168.00000000,,damage
9/20,0.450000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3190,3190.00000000,,damage
23/50,0.460000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3212,3212.00000000,,damage
47/100,0.470000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3234,3234.00000000,,damage
12/25,0.480000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3256,3256.00000000,,damage
49/100,0.490000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3278,3278.00000000,,damage
1/2,0.500000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3300,3300.00000000,,damage
51/100,0.510000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3322,3322.00000000,,damage
13/25,0.520000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3344,3344.00000000,,damage
53/100,0.530000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3366,3366.00000000,,damage
27/50,0.540000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3388,3388.00000000,,damage
11/20,0.550000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3410,3410.00000000,,damage
14/25,0.560000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3432,3432.00000000,,damage
57/100,0.570000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3454,3454.00000000,,damage
29/50,0.580000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3476,3476.00000000,,damage
59/100,0.590000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3498,3498.00000000,,damage
3/5,0.600000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,3520,3520.00000000,,damage
